Area,Period,Gear,District,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
101-ANN,1,GN,101,34248,34433,20915,58690,96047,37088,75004,63760,50063,77807,50838,39929,178430,99830,37738,96297,71164,48561,78966,35433,26325,70858,14906,82363,54520,47375,20045,40646,20097,34810,37113,66509,74072,54776,94848,32881,56986,26073
101-ANN,2,GN,101,24247,38985,13493,32017,118654,120508,103525,67156,46583,293740,158261,92743,73549,95880,28366,212055,50321,34771,95528,48522,34749,144959,73181,17682,56594,42551,62643,85912,50488,11172,84578,57994,128896,126791,147103,32975,83015,40761
101-ANN,3,GN,101,68786,72968,31334,52817,109090,149572,148826,62035,110753,232203,176227,71096,147565,82634,86389,213006,17337,18031,153506,53619,76904,71157,100301,3451,47632,14040,29721,91155,91298,28594,155482,30655,62374,151972,142458,43248,54956,43706
101-ANN,4,GN,101,64533,67666,96307,69420,80569,99329,185149,30386,157027,219331,230234,92268,148840,177969,186577,252423,263,13301,107816,127498,67246,53097,100944,0,13758,4556,15346,24731,137802,38501,195471,86406,43653,106565,100163,35855,78065,40338
101-ANN,1,OG,101,57339,16914,69310,48323,67649,21652,99332,15653,1912,14200,25192,5278,25184,2159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101-ANN,2,OG,101,52542,76541,84519,102772,179912,92853,120309,22663,7422,271665,157059,38917,8664,21051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101-ANN,3,OG,101,238675,66405,166670,333688,205114,249899,123288,24741,13894,144130,173114,15692,20216,111527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101-ANN,4,OG,101,100736,34346,197138,317917,196783,158275,115931,21984,11084,66267,96860,34048,13887,194739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101-ANN,1,SE,101,0,0,4023,1469,3383,2685,20916,1150,115,32044,6860,1894,32280,3792,1496,11582,0,63498,49387,22392,31225,72700,39069,31674,61175,122864,5913,61969,24598,245712,68074,85258,32448,131509,86355,40794,186692,25413
101-ANN,2,SE,101,20786,30944,36130,204778,102559,37910,115732,1265,4071,314473,122286,161712,19331,96337,17128,168864,237122,157592,100383,49294,152991,665837,217236,198587,41513,95793,65073,269979,56145,255345,106257,163262,212719,862267,615298,160899,511382,102323
101-ANN,3,SE,101,225149,113455,134080,350124,242663,252372,420834,16941,154796,533463,234580,283657,181226,206546,55649,631196,315518,50032,132771,155625,248104,550570,435975,104312,227998,182800,49670,224082,232709,539010,369459,41035,186730,815609,492924,285457,299028,276570
101-ANN,4,SE,101,218401,100752,247963,445279,153860,195456,293800,9228,332525,351301,114666,96149,105538,429224,84688,339733,176074,24268,80939,404031,280736,366037,381662,131443,206460,88070,513,47682,312993,572386,311091,209377,66985,328527,282051,144872,148119,317520
101-IN,0,GN,101,0,0,0,0,0,6,18,150,1004,2072,196,203,36,144,307,0,0,264,589,168,689,3908,2859,5544,1988,2870,3818,20994,4488,3477,27628,21979,13413,70162,55481,8875,47330,16704
101-IN,0,SE,101,278975,72156,466052,92294,410189,1842398,862262,201,47168,660933,10786,187861,291608,407395,6512,272332,1591872,209528,229535,166745,116094,973528,693760,378900,19224,45593,25471,459,214472,130108,106440,0,112606,369514,166797,29167,267850,545
101-IN,0,TR,101,0,0,0,0,0,6,18,150,1004,2072,196,203,0,0,0,0,0,0,0,0,2,29,763,14,5,1,9,25,1,5470,2949,21108,48104,40869,39521,1165,12784,4237
101-OUT,1,GN,101,111856,98232,25463,78080,75362,20902,61375,99396,60206,57369,16973,37644,96925,98046,37119,69728,90429,62753,98725,57843,51124,41459,14680,156581,82860,228567,34010,44351,31648,45660,70018,80222,38749,109044,66606,31086,92638,48637
101-OUT,2,GN,101,43103,90422,43366,271536,315097,264091,191714,210140,31047,732261,116871,299166,59642,110827,15464,176451,116127,178794,246291,185325,113369,250720,152875,228127,118323,192417,89509,152421,37753,50155,126893,103433,70432,283695,236865,47527,167579,65305
101-OUT,3,GN,101,328650,148576,50546,298881,215793,306839,258118,242614,107423,326171,167297,186948,165911,132389,61809,313970,98543,110798,202225,142970,182828,163372,181106,128763,131083,80745,57168,106377,99425,46649,194854,85125,52207,201046,212626,46535,170468,60491
101-OUT,4,GN,101,191815,96505,229852,124629,114454,99617,395199,30995,31796,232046,279414,76771,258818,139701,149256,229358,65936,28348,102438,225307,76662,62186,163875,107901,75175,54695,32274,36843,102340,28111,177745,67043,42470,99487,192260,22993,130336,49006
101-OUT,1,SE,101,0,0,128075,72480,110012,0,281141,56758,165807,25746,13385,24745,763874,229023,304333,86817,560450,115109,147822,156130,165655,286164,19831,369145,321680,686178,98781,31791,8695,808786,255757,60694,13621,476563,122591,289880,752733,138368
101-OUT,2,SE,101,240897,322253,119492,1974536,2155076,1050727,2611753,359043,264610,5221685,711857,2627829,987341,1057087,237263,1771512,6371766,617779,1476949,1655731,958479,3975798,1650016,2468032,2228471,1512863,366328,949309,176508,2174312,1427039,281217,1443253,5761718,3732332,678559,1782566,199381
101-OUT,3,SE,101,2105048,761403,835995,1682550,2333791,2057587,2950340,456142,936311,4914491,1755779,1159902,1726503,1959163,863310,7108780,5612250,224594,2835978,2003665,1181184,2185593,3160414,2493539,3695799,1969785,115283,1401444,1544023,3471591,3114121,192336,1434965,4843892,2226007,513214,1560729,221064
101-OUT,4,SE,101,1228582,44014,2389744,1427168,698649,2155929,2885842,0,128448,1913207,727387,299780,1190680,3080296,435628,2315919,1647408,169311,965509,2499641,744648,1941713,2470749,947797,1296349,1365759,4627,176917,1103277,1203198,1424191,832,374842,1714721,1046511,0,390341,507553
101-OUT,1,TR,101,3247,518,8268,6234,569,2767,3280,3140,443,840,1887,600,2811,969,1280,759,1133,121,1135,1485,731,501,253,370,169,142,30,119,261,220,196,194,1771,1127,631,206,392,98
101-OUT,2,TR,101,2660,2537,9609,7581,7000,7406,2377,4096,5671,15830,3071,5641,2737,969,1043,2237,2538,577,977,921,861,747,412,729,617,261,351,468,649,48,679,249,4954,15974,1129,891,1876,627
101-OUT,3,TR,101,9953,2304,2163,1888,2508,2310,4601,2303,5000,7190,3218,1151,2366,2005,1370,797,1035,89,354,159,776,228,645,742,668,259,393,395,197,62,2277,778,4104,10159,902,873,835,254
101-OUT,4,TR,101,7672,1664,14556,805,3306,1789,3112,1010,9692,1252,2187,152,1035,1046,650,245,738,264,325,424,43,226,301,78,163,112,47,122,157,64,773,815,814,596,346,22,359,492
102-IN,0,SE,102,171,0,6607,13067,5762,9558,110,399,58090,756,47621,12567,2615,98962,22827,59100,57402,15760,66570,70695,11581,149244,18428,13685,2734,22588,63679,88130,27265,25473,43694,58804,130263,145836,95295,25393,6927,23918
102-OUT,1,GN,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102-OUT,2,GN,102,0,0,0,0,403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102-OUT,3,GN,102,0,0,0,0,6964,259,5725,0,3453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102-OUT,4,GN,102,0,0,0,0,7112,0,1716,0,16318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102-OUT,1,SE,102,0,0,7918,107,16959,0,52835,52,2094,6418,10099,0,47332,134354,45448,15960,35474,118693,9759,34436,3656,114452,112776,145728,53346,8155,12912,67501,32876,223366,43403,142361,211224,468378,154299,27810,350950,29650
102-OUT,2,SE,102,24398,126305,53722,115518,263946,106584,253391,36163,1034,3434775,300165,953555,47355,519545,48379,187348,209134,304526,978664,144933,58265,1048874,767549,1136424,45933,2274958,245829,343476,93585,1345228,44197,185027,1299031,4069220,1258001,400757,740748,23669
102-OUT,3,SE,102,1017120,639626,526845,193658,1037822,1366344,3090025,279445,402055,4049258,936187,1310573,521939,2778747,1032510,4926574,5731647,641511,2272260,1497052,1428638,3687807,3527249,2068595,1532462,2175610,162281,1673095,1511141,1746108,957519,188645,4039784,3580971,2436701,1832654,1959014,390
102-OUT,4,SE,102,672792,80982,1063328,1467069,1018561,1060710,1892214,84676,841895,1480691,1273936,605331,1598265,2592304,1273042,3724241,5021408,250290,1298823,3830605,1165316,1741590,2225063,846293,1493662,789984,34593,502134,742698,583119,956939,196808,316353,1482754,655068,369502,88418,135806
102-OUT,1,TR,102,5172,700,9326,4588,781,663,2305,1379,392,1482,1194,676,4549,1918,349,224,243,37,310,667,769,178,7,148,54,69,11,92,357,61,109,220,336,260,74,284,116,54
102-OUT,2,TR,102,2100,4835,7513,4121,8691,2532,1164,3271,659,2294,2098,514,269,817,176,587,528,85,106,331,139,923,0,471,225,37,243,230,72,50,101,100,3344,1835,669,0,40,235
102-OUT,3,TR,102,11117,2761,2185,1913,1120,1919,879,1553,2205,1244,791,176,1606,449,259,0,239,12,110,91,209,451,0,15,90,34,70,697,106,32,87,269,4258,30,175,38,267,43
102-OUT,4,TR,102,3261,546,5608,719,1044,751,1382,386,5598,196,648,72,237,367,0,23,3,33,7,23,20,53,0,190,41,3,28,3,83,0,28,2001,254,9,72,36,96,141
103-IN,0,SE,103,1063500,3393932,237538,2231353,1375289,5353031,3289987,2650,227048,2228335,1074842,3390843,152359,5805618,651897,1472690,1238532,792417,1956681,5696807,822928,8514562,2586067,3154308,1481518,6445347,336916,8263808,1783455,3511289,518288,3722428,569869,6429374,2258636,2200140,165688,1564267
103-IN,0,TR,103,21188,17591,11914,8318,22650,17772,6265,8946,19593,99324,36843,15166,10822,22327,6540,3453,2906,13194,3878,5156,4480,3509,557,2007,1140,2581,4712,2627,888,859,1814,7934,3560,7435,2466,1461,3210,2002
103-OUT,1,SE,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
103-OUT,2,SE,103,0,13705,0,0,0,0,0,0,0,278313,73986,159300,0,0,9340,6050,12907,1483,21060,0,96,18807,0,4366,0,56190,7897,0,14497,60149,2177,0,0,16716,218995,16792,61961,0
103-OUT,3,SE,103,854817,1412286,0,72987,210999,976114,562145,0,0,860015,1222907,575555,55444,26420,312927,329853,726586,24319,793640,0,572209,381118,448700,193361,33287,287331,0,730384,65308,485891,462159,140708,455807,1920747,1184079,317493,761375,485813
103-OUT,4,SE,103,1082752,457868,662355,392448,664075,1400918,3226043,222777,891825,284501,590026,511026,515152,964514,1292036,1202830,2966970,14622,1243871,183413,813011,741759,1907496,198232,264845,318371,24189,65942,864377,360159,352690,245020,89729,1343178,542262,191689,111976,1242128
104-SOUTH,1,SE,104,12922,31711,31031,171178,35974,10933,172530,52774,34501,42829,81003,74457,37098,125049,52177,4784,115811,476207,19046,11166,6106,114481,23327,6747,6897,36158,606,44159,94,29462,4780,23151,1540,69267,25161,5675,454107,0
104-SOUTH,2,SE,104,47172,368704,27198,1744749,733298,324098,1982562,134142,57505,2210448,1201295,5145485,673266,1280058,742109,576177,2275445,1214062,455955,95276,109391,1905875,72422,1444435,253649,590418,77079,1644779,5451,505542,9875,145906,262714,496419,2009215,273178,225971,67253
104-SOUTH,3,SE,104,219162,521096,344137,3556632,1731606,1237163,6891953,686008,543816,3784956,4575273,5757717,2550468,2602993,3186786,3998985,6060992,717566,1899763,2856405,965861,3077674,59382,1112876,412809,658723,28443,626663,210755,752597,347507,448392,1358126,3505214,5140298,680143,548741,325770
104-SOUTH,4,SE,104,44857,78225,404726,246513,654019,665895,2017577,83973,932785,679525,1287400,2245117,1650770,2074892,2403259,4710331,2583386,244296,721398,2539565,186387,558622,82972,203211,159527,213313,4579,133156,51142,425675,130212,120572,240693,846490,234058,170290,71223,322193
104-NORTH,1,SE,104,217471,203181,37010,334896,22589,7418,110779,42662,19353,147576,59897,89389,36681,68034,35719,7795,11269,488871,2443,25859,7249,144380,1977,8231,25680,253703,3938,75046,413,52948,5317,19559,1394,98464,120477,23259,1016919,0
104-NORTH,2,SE,104,508376,702670,30540,2771167,337780,689494,1038520,114400,14249,1887511,1135795,3993225,1028104,745712,508395,375102,1708238,1106946,92424,42828,42673,2346340,173805,1886324,456210,1107155,519202,3494610,211484,1078841,55208,120807,537690,1798266,1851193,970590,446902,190931
104-NORTH,3,SE,104,904847,1739040,734525,6527938,1956212,3929696,5070416,560059,695108,3437472,4370820,7201749,2569340,1932463,3816303,2082422,4292781,1078303,1956476,3275122,411938,2855402,386296,1341458,2178366,2155410,208696,4738777,1585458,1641234,250117,1081447,3013175,2164560,1207700,1275370,809647,349011
104-NORTH,4,SE,104,405026,121474,3009135,1444752,655063,1633953,1562325,0,1246617,820261,1888978,3872142,340838,2791108,1715037,1500067,1939935,210999,683158,3138349,74283,912086,37835,517861,651330,1060599,29992,587789,782920,968133,184043,431121,378121,1885214,279506,619491,86384,852085
104,1,TR,104,2454,12418,11146,10781,4531,11215,2532,15657,6611,8365,4925,2743,2141,5704,1587,1075,1426,1762,783,1790,869,1026,185,575,294,812,283,353,56,1233,150,906,388,478,163,45,162,232
104,2,TR,104,857,20426,5119,26135,18908,10131,6732,33220,9330,148242,75287,22023,3187,12055,1777,2822,4312,7913,2179,1474,1867,1100,183,447,56,1861,96,979,462,361,501,1167,588,697,261,9,64,61
104,3,TR,104,5484,22683,7414,12430,18464,11825,16117,6683,68749,35166,23166,8661,14499,9092,2840,2857,2262,1485,1888,954,2097,1159,104,213,175,17,667,642,598,595,587,526,1216,838,606,163,168,38
104,4,TR,104,1082,7914,9270,1671,2181,6919,15381,3779,45592,3225,6388,805,304,2362,1381,987,588,852,200,401,4,237,195,68,3,188,143,115,579,218,135,487,277,151,38,4,95,44
105,1,SE,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,2,SE,105,0,0,0,0,0,21620,0,0,258,0,0,25972,0,0,0,23037,19349,465,0,0,4146,126387,0,605839,0,0,0,0,0,0,0,0,0,158805,0,0,0,1449
105,3,SE,105,13487,270275,0,112768,87934,968112,412273,0,0,0,89896,338727,642,2120379,0,598175,242782,450878,96300,265832,78336,1836956,125929,388353,292638,558331,39551,224927,12811,163335,450801,759867,10656,642477,156386,55381,92,305476
105,4,SE,105,25545,40722,99543,126578,130525,815145,100836,51,18334,0,39802,346412,9098,1103182,82256,162325,67198,217436,119866,494042,102324,671094,0,89013,101769,180618,263,104534,0,98602,68463,1022303,33,412172,78003,47219,0,14175
105,1,TR,105,203,1652,754,1646,734,971,468,978,117,2544,894,325,952,1001,226,167,431,622,446,1139,762,438,35,557,276,270,75,397,27,180,34,623,24,398,7,71,103,168
105,2,TR,105,352,7880,1154,5839,4204,2547,842,1530,412,23903,19162,5202,1747,3397,1088,1170,1788,7992,1285,355,1746,1214,47,581,197,58,1470,489,145,36,248,720,1023,1691,168,368,765,26
105,3,TR,105,2091,14657,2857,3971,9855,6296,2142,874,4649,18910,40523,6813,4828,6627,2262,2736,1016,5314,1346,186,1678,1787,334,58,182,663,322,65,63,197,346,704,475,221,58,132,590,676
105,4,TR,105,1341,2986,6375,2110,2697,1955,286,691,12149,1290,5040,1080,694,8558,1856,849,1013,2961,251,550,153,418,104,173,213,773,418,183,29,36,147,761,262,261,41,280,196,573
106-IN,0,GN,106,0,0,514,0,378,181,458,228,60,2,30,1,30,39,397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106-IN,0,SE,106,0,0,0,0,0,0,0,0,0,135476,143327,119377,45897,0,32988,210,13359,585709,0,529,19,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106-IN,0,TR,106,0,0,514,0,378,181,458,228,60,2,30,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106-OUT,1,GN,106,12954,71777,7668,26086,19760,49989,2930,73252,4990,109662,7751,31497,12064,125828,5392,36696,8319,144458,14012,43338,15667,69555,3622,87148,43944,205444,9811,54833,5578,42423,8266,39537,6826,39918,19133,44955,53572,58383
106-OUT,2,GN,106,30119,148671,7344,50675,99201,283032,15765,71555,8872,535632,42653,36023,13751,112739,13527,76779,34758,201852,81599,77581,22013,394834,12726,171313,41253,145797,90407,116591,15403,14659,34034,55658,33783,138003,105568,89420,138852,68226
106-OUT,3,GN,106,1860,196034,0,48332,115567,133216,93784,94576,15737,294632,124897,30304,32796,110490,47906,185180,75353,287637,246575,91676,63608,260178,37668,119659,113048,55596,35421,109728,31576,56635,125435,119673,75458,160652,186586,69945,127845,125021
106-OUT,4,GN,106,733,21091,10467,83197,108727,118716,196005,4099,39900,167768,144784,35536,35637,188897,113169,149508,69605,155104,160469,278584,55331,100880,28935,92577,46992,54350,14268,102203,37660,29872,141831,122301,13579,135978,104105,20496,38040,50403
106-OUT,1,SE,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
106-OUT,2,SE,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,494066,0,0,0,130588,0,230241,0,9018,0,24873,0,11844,0,0,0,10060,55429,0,32749,0
106-OUT,3,SE,106,0,385405,0,504374,0,0,286026,0,0,579878,0,0,0,0,0,157746,157205,1348599,849212,349412,81362,1708729,25261,768455,389965,252661,0,1408104,412300,227445,94925,0,339863,1177101,751635,67113,389471,0
106-OUT,4,SE,106,0,0,0,364113,106565,208189,87826,0,0,0,232749,156868,0,0,296561,48535,285501,248946,189290,2087658,58236,1989150,0,972178,484397,347284,26943,576007,31995,85756,35951,0,5744,966420,164279,3900,30767,0
106-OUT,1,TR,106,234,232,712,2404,354,248,301,281,244,1626,110,342,30,300,49,4,0,78,27,75,5,0,0,0,8,374,5,81,0,21,27,92,16,331,27,7,0,0
106-OUT,2,TR,106,352,729,1261,5359,5120,1160,424,874,204,43112,3570,734,173,4589,369,0,181,80,76,43,0,199,0,20,16,40,13,55,6,1,2,139,29,210,74,3,72,146
106-OUT,3,TR,106,1543,1178,2980,2351,4325,3773,986,653,2979,53689,7678,810,701,2853,1403,36,84,,99,207,9,0,0,6,0,36,0,57,12,0,45,44,446,166,33,22,27,6
106-OUT,4,TR,106,1266,1654,4529,1611,2504,2869,1433,948,1690,2885,2120,107,139,3011,1312,128,43,56,12,17,3,11,6,0,1,128,10,67,75,0,22,31,21,30,7,0,0,89
107-IN,0,GN,107,0,0,0,0,98,0,0,0,0,113,17,16,98,49,228,202,5,1345,230,546,1375,5631,305,2680,537,1970,986,1865,376,400,1484,3536,322,1929,0,0,0,0
107-IN,0,SE,107,0,0,0,0,113642,0,0,0,0,116,287693,32,113642,711846,302405,95044,124714,450035,135075,1865175,279811,1507260,559923,1137232,70647,614803,98102,284762,340439,835692,52266,69975,149959,858164,788476,29013,152588,393904
107-IN,0,TR,107,0,0,0,0,98,0,0,0,0,113,17,16,2,0,1,0,0,0,0,2,0,0,0,0,22,0,8,0,0,0,0,41,0,0,0,0,0,0
107-OUT,1,SE,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,655,3879,2202
107-OUT,2,SE,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,462760,223536,0,0,855253,0,923016,0,318968,0,275278,0,161754,0,0,243274,367450,332041,3065,110306,67141
107-OUT,3,SE,107,0,53122,0,490616,156803,0,146945,0,0,620421,0,0,139850,698704,0,131842,182215,145530,0,882834,306722,1366017,179437,1096007,1048660,485825,0,1415296,495392,1049471,0,0,245049,853494,596418,96336,351470,175651
107-OUT,4,SE,107,0,0,109482,194441,105,820,0,0,0,255058,123483,88041,158931,599557,374868,127867,312035,107122,0,920114,78324,739998,28970,365364,525394,323084,33235,180706,0,125562,0,0,46500,508232,98204,1418,35,137394
107-OUT,1,TR,107,730,788,703,631,207,53,701,297,4,156,99,6,2,11,8,29,0,0,0,0,1,0,0,0,0,0,0,235,0,0,10,6,0,0,7,0,0,
107-OUT,2,TR,107,2345,822,160,7,49,165,345,564,0,922,20,785,0,296,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,76,0,111,15
107-OUT,3,TR,107,720,351,0,0,0,63,203,269,1060,702,0,0,5,0,0,0,0,47,146,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,329
107-OUT,4,TR,107,272,147,35,8,48,28,74,431,172,125,5,17,0,3,0,0,4,28,0,0,0,0,0,0,0,0,1,0,1,5,8,31,0,2,0,0,0,39
108-IN,0,GN,108,0,0,0,0,0,4,67,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-IN,0,TR,108,0,0,0,0,0,4,67,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-OUT,1,GN,108,2563,1089,72,0,0,0,2,3325,144,2675,480,717,11564,15079,1809,9368,4989,26207,2048,6035,684,0,0,10578,7454,56921,6255,4766,366,3607,2046,9839,591,1925,534,6311,6298,7333
108-OUT,2,GN,108,3550,0,0,0,3573,4525,954,0,0,27042,9706,9923,28977,14981,14010,21069,29988,26502,14818,18135,4755,1925,860,53217,4866,37771,37843,20969,6612,8561,8167,26293,6301,42101,22628,17483,15197,19650
108-OUT,3,GN,108,1048,0,8399,0,1372,650,1847,0,0,121,3519,532,24893,6260,9745,5792,1736,12226,14394,5808,3052,7161,2392,9283,1927,6984,11088,9461,6945,10774,30913,18403,8079,63137,9322,9090,11424,18887
108-OUT,4,GN,108,63,377,8517,4171,15,150,2098,6,0,261,1059,153,2164,3365,9841,1559,938,810,8047,19003,1059,2148,1349,3035,6192,4719,1624,4676,4182,4068,17484,10487,1403,8863,1346,3042,2331,3157
108-OUT,1,TR,108,13,0,217,6,0,49,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,11,0,8,1,9,0,0,0,13,21,0,0,0,0,1
108-OUT,2,TR,108,5,21,0,200,5,28,0,0,0,715,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,23,1,0,0,39,22,17
108-OUT,3,TR,108,2,0,0,0,0,44,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,2,0,27,17,0,0,0,25,4
108-OUT,4,TR,108,113,10,4,3,0,24,0,0,0,0,9,0,1,0,1,21,0,0,0,4,0,2,0,2,0,0,0,0,0,0,5,2,0,1,0,0,0,2
150,1,TR,150,0,0,0,0,0,0,0,0,0,0,0,0,352,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,2,TR,150,0,0,0,0,0,0,0,0,0,0,0,0,0,593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,3,TR,150,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,4,TR,150,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,1,TR,152,9966,9292,2070,8,77,28,273,798,107,0,0,1,158,39,92,25,0,0,0,0,0,0,0,0,0,0,2,0,0,3,7,52,42,0,0,160,23,42
152,2,TR,152,4052,8363,1891,0,38,249,139,608,762,0,1701,32,53,0,39,35,0,0,6,0,0,0,0,0,0,0,191,0,0,1,99,4,0,0,0,87,0,10
152,3,TR,152,15678,9560,2925,0,0,0,0,4377,1521,298,82,491,0,0,2,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,6,0,171,62,0,149,0,60
152,4,TR,152,2272,0,4793,0,94,16,0,701,1344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,3,38,119,349,0,0,16,57,52
